----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Sun Jun  2 09:48:10 2024
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 4, 'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 140, 'name': '', 'username': None} 
{'pid': 176, 'name': 'Registry', 'username': None} 
{'pid': 640, 'name': 'smss.exe', 'username': None} 
{'pid': 664, 'name': 'csrss.exe', 'username': None} 
{'pid': 728, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 1100, 'name': 'wininit.exe', 'username': None} 
{'pid': 1108, 'name': 'csrss.exe', 'username': None} 
{'pid': 1172, 'name': 'services.exe', 'username': None} 
{'pid': 1192, 'name': 'LsaIso.exe', 'username': None} 
{'pid': 1208, 'name': 'lsass.exe', 'username': None} 
{'pid': 1220, 'name': 'svchost.exe', 'username': None} 
{'pid': 1280, 'name': 'IntelCpHDCPSvc.exe', 'username': None} 
{'pid': 1316, 'name': 'msedgewebview2.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 1332, 'name': 'svchost.exe', 'username': None} 
{'pid': 1360, 'name': 'WUDFHost.exe', 'username': None} 
{'pid': 1380, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 1468, 'name': 'svchost.exe', 'username': None} 
{'pid': 1516, 'name': 'svchost.exe', 'username': None} 
{'pid': 1568, 'name': 'WUDFHost.exe', 'username': None} 
{'pid': 1636, 'name': 'winlogon.exe', 'username': None} 
{'pid': 1652, 'name': 'OneDrive.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 1688, 'name': 'fontdrvhost.exe', 'username': None} 
{'pid': 1728, 'name': 'svchost.exe', 'username': None} 
{'pid': 1776, 'name': 'svchost.exe', 'username': None} 
{'pid': 1788, 'name': 'svchost.exe', 'username': None} 
{'pid': 1852, 'name': 'dwm.exe', 'username': None} 
{'pid': 1876, 'name': 'svchost.exe', 'username': None} 
{'pid': 1892, 'name': 'svchost.exe', 'username': None} 
{'pid': 1964, 'name': 'svchost.exe', 'username': None} 
{'pid': 1972, 'name': 'svchost.exe', 'username': None} 
{'pid': 1996, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 2108, 'name': 'svchost.exe', 'username': None} 
{'pid': 2220, 'name': 'svchost.exe', 'username': None} 
{'pid': 2324, 'name': 'ACCIMonitor.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 2328, 'name': 'ArmouryCrate.UserSessionHelper.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 2376, 'name': 'NVDisplay.Container.exe', 'username': None} 
{'pid': 2416, 'name': 'svchost.exe', 'username': None} 
{'pid': 2424, 'name': 'igfxCUIServiceN.exe', 'username': None} 
{'pid': 2444, 'name': 'svchost.exe', 'username': None} 
{'pid': 2484, 'name': 'svchost.exe', 'username': None} 
{'pid': 2608, 'name': 'svchost.exe', 'username': None} 
{'pid': 2656, 'name': 'svchost.exe', 'username': None} 
{'pid': 2668, 'name': 'conhost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 2752, 'name': 'svchost.exe', 'username': None} 
{'pid': 2884, 'name': 'NVDisplay.Container.exe', 'username': None} 
{'pid': 2912, 'name': 'AsusSoftwareManagerAgent.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 2948, 'name': 'svchost.exe', 'username': None} 
{'pid': 2956, 'name': 'AsusCertService.exe', 'username': None} 
{'pid': 3012, 'name': 'svchost.exe', 'username': None} 
{'pid': 3048, 'name': 'svchost.exe', 'username': None} 
{'pid': 3056, 'name': 'svchost.exe', 'username': None} 
{'pid': 3064, 'name': 'svchost.exe', 'username': None} 
{'pid': 3120, 'name': 'svchost.exe', 'username': None} 
{'pid': 3128, 'name': 'svchost.exe', 'username': None} 
{'pid': 3172, 'name': 'MemCompression', 'username': None} 
{'pid': 3276, 'name': 'svchost.exe', 'username': None} 
{'pid': 3304, 'name': 'StartMenuExperienceHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 3320, 'name': 'Widgets.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 3476, 'name': 'svchost.exe', 'username': None} 
{'pid': 3484, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 3576, 'name': 'svchost.exe', 'username': None} 
